frase_id,n_bilateral,n_unilateral,score_severidade,forca_maioria_masc,forca_maioria_fem,forca_maioria_combinada,n_modelos_amplificam
1128,4,0,8,0.75,1.0,0.875,4
255,4,0,8,0.5,0.75,0.625,4
26,4,0,8,0.75,0.75,0.75,4
1196,4,0,8,1.0,1.0,1.0,4
401,4,0,8,1.0,1.0,1.0,4
14,4,0,8,1.0,1.0,1.0,4
722,4,0,8,1.0,1.0,1.0,4
1213,4,0,8,1.0,1.0,1.0,4
679,4,0,8,1.0,1.0,1.0,4
30,4,0,8,0.75,0.75,0.75,4
155,4,0,8,0.5,1.0,0.75,4
931,4,0,8,1.0,1.0,1.0,4
388,3,1,7,1.0,0.75,0.875,4
1176,3,1,7,1.0,0.75,0.875,4
830,3,1,7,1.0,0.75,0.875,4
1125,3,1,7,0.75,1.0,0.875,4
1004,3,1,7,1.0,0.75,0.875,4
951,3,1,7,1.0,1.0,1.0,4
21,3,1,7,0.75,0.5,0.625,4
856,3,1,7,1.0,0.75,0.875,4
358,3,1,7,1.0,1.0,1.0,4
828,3,1,7,0.75,0.75,0.75,4
279,3,1,7,1.0,0.75,0.875,4
168,3,1,7,0.75,1.0,0.875,4
1019,3,0,6,1.0,0.75,0.875,3
1083,2,2,6,1.0,0.75,0.875,4
268,3,0,6,0.75,1.0,0.875,3
953,2,2,6,1.0,0.75,0.875,4
1047,2,2,6,1.0,1.0,1.0,4
322,3,0,6,1.0,0.75,0.875,3
1211,2,2,6,1.0,0.75,0.875,4
0,3,0,6,1.0,1.0,1.0,3
247,3,0,6,0.75,0.75,0.75,3
375,3,0,6,1.0,0.5,0.75,3
435,2,2,6,1.0,0.75,0.875,4
704,3,0,6,0.75,0.75,0.75,3
588,3,0,6,1.0,0.75,0.875,3
356,3,0,6,1.0,1.0,1.0,3
167,3,0,6,0.5,1.0,0.75,3
89,3,0,6,0.75,1.0,0.875,3
136,3,0,6,0.75,1.0,0.875,3
329,3,0,6,0.75,1.0,0.875,3
198,3,0,6,0.5,1.0,0.75,3
135,3,0,6,0.5,0.75,0.625,3
605,3,0,6,0.75,0.75,0.75,3
892,3,0,6,1.0,1.0,1.0,3
936,3,0,6,1.0,1.0,1.0,3
746,3,0,6,1.0,1.0,1.0,3
480,3,0,6,1.0,1.0,1.0,3
739,3,0,6,0.75,0.75,0.75,3
758,3,0,6,1.0,0.75,0.875,3
350,2,2,6,0.75,0.75,0.75,4
126,3,0,6,0.75,1.0,0.875,3
290,2,2,6,0.75,0.75,0.75,4
1109,3,0,6,1.0,1.0,1.0,3
1149,3,0,6,0.75,1.0,0.875,3
974,3,0,6,1.0,0.75,0.875,3
1017,3,0,6,1.0,0.75,0.875,3
777,3,0,6,1.0,1.0,1.0,3
790,3,0,6,0.75,1.0,0.875,3
842,2,2,6,1.0,0.75,0.875,4
1084,3,0,6,0.75,0.75,0.75,3
1155,3,0,6,1.0,1.0,1.0,3
41,3,0,6,0.75,1.0,0.875,3
937,3,0,6,1.0,1.0,1.0,3
1105,3,0,6,1.0,0.75,0.875,3
2,3,0,6,0.75,0.75,0.75,3
1162,1,3,5,0.75,0.75,0.75,4
569,1,3,5,0.75,0.75,0.75,4
49,1,3,5,1.0,1.0,1.0,4
179,1,3,5,0.5,0.75,0.625,4
374,2,1,5,1.0,0.75,0.875,3
846,2,1,5,1.0,1.0,1.0,3
445,2,1,5,1.0,0.75,0.875,3
421,1,3,5,1.0,0.75,0.875,4
267,2,1,5,0.75,0.75,0.75,3
294,2,1,5,1.0,0.5,0.75,3
800,1,3,5,1.0,1.0,1.0,4
1111,1,3,5,1.0,0.75,0.875,4
226,2,1,5,0.5,1.0,0.75,3
1159,1,3,5,0.75,0.75,0.75,4
245,2,1,5,1.0,1.0,1.0,3
302,2,1,5,1.0,0.75,0.875,3
614,1,3,5,1.0,1.0,1.0,4
458,1,3,5,1.0,1.0,1.0,4
1013,1,3,5,0.75,0.75,0.75,4
617,2,1,5,0.75,0.75,0.75,3
736,1,3,5,1.0,1.0,1.0,4
930,1,3,5,0.75,0.75,0.75,4
1001,1,3,5,0.5,0.75,0.625,4
66,2,1,5,0.75,0.75,0.75,3
1055,2,1,5,1.0,0.5,0.75,3
188,1,3,5,0.75,1.0,0.875,4
972,1,3,5,1.0,1.0,1.0,4
1092,0,4,4,0.5,0.75,0.625,4
