fonte,dataset,modelo,kappa_inicial,kappa_modelos,delta_kappa,severidade
Empírico (MQD-1465),MQD-1209-MF,SVM,0.7652,0.4647242995159253,0.3004757004840747,Severa
Empírico (MQD-1465),MQD-1209-MF,NB,0.7652,0.4861873856918489,0.2790126143081511,Moderada
Empírico (MQD-1465),MQD-1209-MF,RF,0.7652,0.4377709469645722,0.3274290530354278,Severa
Empírico (MQD-1465),MQD-1209-MF,LR,0.7652,0.4986300559304214,0.26656994406957857,Moderada
Sintético,SynSA-99,SVM,0.9849849398495788,0.6353954113372817,0.3495895285122971,Severa
Sintético,SynSA-99,NB,0.9849849398495788,0.6474668821128585,0.3375180577367203,Severa
Sintético,SynSA-99,RF,0.9849849398495788,0.2503067945980088,0.73467814525157,Severa
Sintético,SynSA-99,LR,0.9849849398495788,0.674042876947551,0.31094206290202775,Severa
Sintético,SynSA-97,SVM,0.954954954954955,0.557586402198014,0.39736855275694094,Severa
Sintético,SynSA-97,NB,0.954954954954955,0.5270783531495662,0.4278766018053888,Severa
Sintético,SynSA-97,RF,0.954954954954955,0.2022206782046886,0.7527342767502664,Severa
Sintético,SynSA-97,LR,0.954954954954955,0.552352726239292,0.402602228715663,Severa
Sintético,SynSA-95,SVM,0.9249246992478944,0.4703705544535665,0.45455414479432793,Severa
Sintético,SynSA-95,NB,0.9249246992478944,0.4821842285068052,0.44274047074108924,Severa
Sintético,SynSA-95,RF,0.9249246992478944,0.1621070986511026,0.7628176005967918,Severa
Sintético,SynSA-95,LR,0.9249246992478944,0.5119547963490747,0.41296990289881974,Severa
Sintético,SynSA-90,SVM,0.8498493984957886,0.3941427341732529,0.45570666432253565,Severa
Sintético,SynSA-90,NB,0.8498493984957886,0.3896063406617337,0.46024305783405484,Severa
Sintético,SynSA-90,RF,0.8498493984957886,0.1571141742053374,0.6927352242904512,Severa
Sintético,SynSA-90,LR,0.8498493984957886,0.4188420524136935,0.43100734608209507,Severa
Sintético,SynSA-85,SVM,0.7747747747747747,0.405097821019865,0.3696769537549097,Severa
Sintético,SynSA-85,NB,0.7747747747747747,0.4128828632731116,0.36189191150166317,Severa
Sintético,SynSA-85,RF,0.7747747747747747,0.1786601615165056,0.5961146132582691,Severa
Sintético,SynSA-85,LR,0.7747747747747747,0.405574262647572,0.36920051212720273,Severa
Sintético,SynSA-80,SVM,0.6996987969915771,0.3583332455861935,0.3413655514053836,Severa
Sintético,SynSA-80,NB,0.6996987969915771,0.3471621058080844,0.35253669118349273,Severa
Sintético,SynSA-80,RF,0.6996987969915771,0.1523058845831533,0.5473929124084238,Severa
Sintético,SynSA-80,LR,0.6996987969915771,0.3735198313276928,0.3261789656638843,Severa
Sintético,SynSA-75,SVM,0.6246234962394714,0.2957253833326555,0.3288981129068159,Severa
Sintético,SynSA-75,NB,0.6246234962394714,0.2928249794373183,0.33179851680215317,Severa
Sintético,SynSA-75,RF,0.6246234962394714,0.1414766359071746,0.4831468603322968,Severa
Sintético,SynSA-75,LR,0.6246234962394714,0.2888106583506166,0.33581283788885485,Severa
Sintético,SynSA-70,SVM,0.5495495495495495,0.2717695827045746,0.2777799668449749,Moderada
Sintético,SynSA-70,NB,0.5495495495495495,0.2769309384731118,0.2726186110764377,Moderada
Sintético,SynSA-70,RF,0.5495495495495495,0.1048629747092787,0.4446865748402708,Severa
Sintético,SynSA-70,LR,0.5495495495495495,0.258286128240544,0.2912634213090055,Moderada
Sintético,SynSA-65,SVM,0.47447289473526,0.2472773138876204,0.2271955808476396,Moderada
Sintético,SynSA-65,NB,0.47447289473526,0.218812897925652,0.255659996809608,Moderada
Sintético,SynSA-65,RF,0.47447289473526,0.0737868029487586,0.4006860917865014,Severa
Sintético,SynSA-65,LR,0.47447289473526,0.2498137705924579,0.2246591241428021,Moderada
Sintético,SynSA-60,SVM,0.3993975939831543,0.1561751802437517,0.24322241373940257,Moderada
Sintético,SynSA-60,NB,0.3993975939831543,0.1458993741363895,0.2534982198467648,Moderada
Sintético,SynSA-60,RF,0.3993975939831543,0.0946346310179748,0.30476296296517946,Severa
Sintético,SynSA-60,LR,0.3993975939831543,0.1847655545536518,0.21463203942950249,Moderada
Sintético,SynSA-55,SVM,0.3243243243243243,0.1227950359038401,0.20152928842048418,Moderada
Sintético,SynSA-55,NB,0.3243243243243243,0.1049149654689828,0.2194093588553415,Moderada
Sintético,SynSA-55,RF,0.3243243243243243,0.0470927547177758,0.2772315696065485,Moderada
Sintético,SynSA-55,LR,0.3243243243243243,0.1323407874451159,0.19198353687920838,Moderada
Sintético,SynSA-50,SVM,0.2507496246240605,0.0974972191323692,0.15325240549169128,Moderada
Sintético,SynSA-50,NB,0.2507496246240605,0.1042821226784892,0.1464675019455713,Leve
Sintético,SynSA-50,RF,0.2507496246240605,0.0613616652211622,0.18938795940289826,Moderada
Sintético,SynSA-50,LR,0.2507496246240605,0.1255951754320002,0.12515444919206029,Leve
