Dataset,Originais V,SVM V,NB V,RF V,LR V
SynSA-99,0.9849939087006097,0.8674170719854238,0.8931181432880606,0.3010862657700942,0.8927016816089481
SynSA-97,0.954954954954955,0.7494753953211515,0.821472791019159,0.2908011024199443,0.8152831920535618
SynSA-95,0.9249335049607886,0.7079545060402976,0.7144933155724088,0.29239492832891545,0.7319825497046352
SynSA-90,0.8498580013772223,0.6141510425442105,0.5995793517585706,0.2197822911429834,0.6164872838908986
SynSA-85,0.7747747747747749,0.4977867540992684,0.5557500203007925,0.22719708175018583,0.5223534985170454
SynSA-80,0.699707108643986,0.44067705872506213,0.47125301820194665,0.18389253186890822,0.4678381203592392
SynSA-75,0.624631723175855,0.39181728599988447,0.3804398049312812,0.18711825031701448,0.3926801466806287
SynSA-70,0.5495495495495496,0.3366208495286643,0.36165676676981956,0.1604188159874448,0.3825700169167977
SynSA-65,0.47448120741670535,0.3283286092487978,0.318264828236908,0.1319537057136387,0.33538711382141434
SynSA-60,0.3994061663359732,0.24067285067138855,0.1800232850742542,0.10930869746287913,0.20363095505680764
SynSA-55,0.32432432432432434,0.19159394494782306,0.16754621068144918,0.10485797147325196,0.16514200943906282
SynSA-50,0.25075242312325585,0.15544461902488504,0.1288226247126706,0.06482309059270755,0.17702759585260222
