Dataset,SVM Δκ,SVM Sev,SVM Faixas,NB Δκ,NB Sev,NB Faixas,RF Δκ,RF Sev,RF Faixas,LR Δκ,LR Sev,LR Faixas
SynSA-99,0.3495895285122972,Leve,1,0.3375180577367204,Leve,1,0.73467814525157,Severa,3,0.31094206290202786,Leve,1
SynSA-97,0.39736855275694094,Moderada,2,0.4278766018053888,Moderada,2,0.7527342767502664,Severa,3,0.402602228715663,Moderada,2
SynSA-95,0.45455414479432776,Moderada,2,0.44274047074108913,Moderada,2,0.7628176005967917,Severa,4,0.41296990289881963,Moderada,2
SynSA-90,0.4557066643225356,Severa,3,0.46024305783405484,Severa,3,0.6927352242904511,Severa,4,0.431007346082095,Moderada,2
SynSA-85,0.3696769537549097,Leve,1,0.3618919115016631,Leve,1,0.5961146132582691,Severa,3,0.36920051212720273,Leve,1
SynSA-80,0.3413655514053836,Moderada,2,0.35253669118349273,Moderada,2,0.5473929124084238,Severa,3,0.32617896566388427,Moderada,2
SynSA-75,0.3288981129068159,Moderada,2,0.3317985168021531,Moderada,2,0.4831468603322968,Severa,3,0.33581283788885485,Moderada,2
SynSA-70,0.27777996684497486,Leve,1,0.2726186110764377,Leve,1,0.44468657484027074,Moderada,2,0.2912634213090055,Leve,1
SynSA-65,0.22719558084763958,Leve,1,0.25565999680960794,Leve,1,0.4006860917865014,Moderada,2,0.2246591241428021,Leve,1
SynSA-60,0.24322241373940257,Leve,1,0.2534982198467648,Leve,1,0.30476296296517946,Leve,1,0.21463203942950249,Leve,1
SynSA-55,0.20152928842048423,Leve,1,0.21940935885534152,Leve,1,0.2772315696065485,Leve,1,0.19198353687920844,Leve,1
SynSA-50,0.15325240549169128,Leve,1,0.14646750194557123,Leve,1,0.1893879594028982,Leve,1,0.1251544491920602,Leve,1
