Dataset,Originais κ,Faixa L&K,SVM κ,SVM Faixa,NB κ,NB Faixa,RF κ,RF Faixa,LR κ,LR Faixa
SynSA-99,0.9849849398495789,Almost Perfect,0.865261094888093,Almost Perfect,0.892150179819056,Almost Perfect,0.29271219001044424,Fair,0.8912924723890381,Almost Perfect
SynSA-97,0.954954954954955,Almost Perfect,0.7486961571999764,Substantial,0.8194464937060724,Almost Perfect,0.28724473768186626,Fair,0.8147684884519013,Almost Perfect
SynSA-95,0.9249246992478943,Almost Perfect,0.7043121865190408,Substantial,0.7140682241215546,Substantial,0.2922252861712894,Fair,0.7302663990794034,Substantial
SynSA-90,0.8498493984957886,Almost Perfect,0.6106932604639995,Substantial,0.5963999254813176,Moderate,0.2198698569289038,Fair,0.6142947838311977,Substantial
SynSA-85,0.7747747747747747,Substantial,0.4938336289976217,Moderate,0.5512615151230271,Moderate,0.22598538931366546,Fair,0.5190042996708829,Moderate
SynSA-80,0.6996987969915771,Substantial,0.4386985927504837,Moderate,0.46562515123590414,Moderate,0.18062638468099673,Slight,0.4670602631051871,Moderate
SynSA-75,0.6246234962394714,Substantial,0.3853281623020474,Fair,0.37817049560032634,Fair,0.17930585535231464,Slight,0.39048116835988383,Fair
SynSA-70,0.5495495495495495,Moderate,0.3324791282434383,Fair,0.35662001855784836,Fair,0.15876339512143153,Slight,0.38062659486512984,Fair
SynSA-65,0.47447289473526,Moderate,0.3227568267875641,Fair,0.31214119807283136,Fair,0.12415541727775199,Slight,0.32717458486526363,Fair
SynSA-60,0.39939759398315433,Fair,0.23972427638628338,Fair,0.17787873468041682,Slight,0.10524364842173144,Slight,0.19929045329051165,Slight
SynSA-55,0.32432432432432434,Fair,0.188623193831509,Slight,0.16048310817142653,Slight,0.08999766278182335,Slight,0.16249754754934523,Slight
SynSA-50,0.2507496246240605,Fair,0.15500574310054077,Slight,0.1182373280397575,Slight,0.05533773885782141,Slight,0.1753314429129074,Slight
