dataset,concordancia_alvo,kappa_orig,kappa_rf_orig,kappa_rf_novo,kappa_rf_global,delta_orig,delta_novo,n_faixas_queda,severidade,bate
SynSA-99,99,0.985,0.2927,0.3268,0.3285,0.6923,0.6582,3,Severa,False
SynSA-97,97,0.955,0.2872,0.3598,0.3627,0.6678,0.5952,3,Severa,False
SynSA-95,95,0.9249,0.2922,0.3088,0.3096,0.6327,0.6161,3,Severa,False
SynSA-90,90,0.8498,0.2199,0.2164,0.2163,0.6299,0.6334,3,Severa,True
SynSA-85,85,0.7748,0.226,0.2282,0.2273,0.5488,0.5466,2,Moderada,True
SynSA-80,80,0.6997,0.1806,0.2188,0.2202,0.5191,0.4809,2,Moderada,False
SynSA-75,75,0.6246,0.1793,0.1903,0.1897,0.4453,0.4343,3,Severa,False
SynSA-70,70,0.5495,0.1588,0.1499,0.1523,0.3907,0.3997,2,Moderada,False
SynSA-65,65,0.4745,0.1242,0.1146,0.1195,0.3503,0.3599,2,Moderada,False
SynSA-60,60,0.3994,0.1052,0.1064,0.1091,0.2942,0.293,1,Leve,True
SynSA-55,55,0.3243,0.09,0.0707,0.0661,0.2343,0.2536,1,Leve,False
SynSA-50,50,0.2507,0.0553,0.0476,0.0486,0.1954,0.2032,1,Leve,False
